#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
,,,G - Games Played,AB - At Bats,PA - Plate Appearances,H - Hits,1B - Singles,2B - Doubles,3B - Triples,HR - Home Runs,R - Runs,RBI - Runs Batted In,BB - Walks,IBB - Intentional Walks,SO - Strike Outs,HBP - Hit by Pitch,SF - Sacrifice Fly,SH - Sacrifice Hit,GDP - Ground into Double Play,SB - Stolen Bases,CS - Caught Stealing,AVG - Batting Average (H/AB)
1,A.J. Minter,ATL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,A.J. Puk,MIA,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Aaron Bummer,CHW,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Aaron Civale,2 Tms,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Aaron Hicks,2 Tms,93,269,312,68,50,9,1,8,44,36,42,1,69,0,1,0,3,6,0,0.253
6,Aaron Judge,NYY,106,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,0.267
7,Aaron Loup,LAA,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Aaron Nola,PHI,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Abner Uribe,MIL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Abraham Almonte,NYM,8,15,16,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0.067
11,Abraham Toro,MIL,9,18,21,8,6,0,0,2,4,9,2,0,5,1,0,0,0,0,0,0.444
12,Adam Cimber,TOR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Adam Duvall,BOS,92,320,353,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,0.247
14,Adam Engel,SDP,5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
15,Adam Frazier,BAL,141,412,455,99,63,21,2,13,59,60,32,0,68,4,2,4,4,11,4,0.24
16,Adam Haseley,CHW,28,36,39,8,6,2,0,0,6,2,3,0,8,0,0,0,1,1,0,0.222
17,Adam Kolarek,2 Tms,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Adam Oller,OAK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Adam Ottavino,NYM,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Adam Wainwright,STL,23,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Adbert Alzolay,CHC,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Adley Rutschman,BAL,154,588,687,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,0.277
23,Adolis García,TEX,148,555,632,136,68,29,0,39,108,107,65,0,175,6,6,0,12,9,1,0.245
24,Adrian Houser,MIL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Adrián Martínez,OAK,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Adrian Morejon,SDP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,AJ Pollock,2 Tms,54,133,144,22,13,4,0,5,15,15,9,0,32,0,2,0,1,0,1,0.165
28,AJ Smith-Shawver,ATL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Akil Baddoo,DET,112,312,357,68,43,13,1,11,40,34,42,2,89,0,1,2,4,14,3,0.218
30,Alan Busenitz,CIN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Alan Trejo,COL,83,207,227,48,33,11,0,4,24,26,16,0,51,1,2,1,3,5,1,0.232
32,Albert Abreu,NYY,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Alec Bohm,PHI,145,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,23,4,1,0.274
34,Alec Burleson,STL,107,315,347,77,48,20,1,8,34,36,23,0,45,3,2,1,13,3,1,0.244
35,Alec Marsh,KCR,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Alec Mills,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Aledmys Díaz,OAK,109,315,344,72,47,20,1,4,25,24,17,2,66,7,4,1,14,1,0,0.229
38,Alejandro Kirk,TOR,123,372,422,93,69,16,0,8,34,43,42,1,45,6,2,0,21,0,0,0.25
39,Alejo Lopez,CIN,1,2,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.5
40,Alek Jacob,SDP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Alek Manoah,TOR,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Alek Thomas,ARI,125,374,402,86,55,17,5,9,51,39,19,1,86,4,3,2,5,9,1,0.23
43,Alex Bregman,HOU,161,622,724,163,106,28,4,25,103,98,92,1,87,8,2,0,22,3,1,0.262
44,Alex Call,WSN,128,375,439,75,52,14,1,8,43,38,53,0,78,6,2,3,1,9,8,0.2
45,Alex Claudio,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Alex Cobb,SFG,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Alex Colomé,CHW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Alex Faedo,DET,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Alex Kirilloff,MIN,88,281,319,76,50,14,1,11,35,41,28,1,80,7,3,0,2,1,0,0.27
50,Alex Lange,DET,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Alex Speas,TEX,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Alex Verdugo,BOS,142,546,602,144,89,37,5,13,81,54,45,1,93,6,5,0,11,5,3,0.264
53,Alex Vesia,LAD,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Alex Wood,SFG,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Alex Young,CIN,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Alexander Canario,CHC,6,17,17,5,2,1,1,1,1,6,0,0,8,0,0,0,0,0,0,0.294
57,Alexis Díaz,CIN,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Alfonso Rivas III,2 Tms,48,109,123,25,11,10,1,3,8,15,9,0,36,3,1,1,1,1,0,0.229
59,Alika Williams,PIT,46,101,112,20,15,5,0,0,7,6,9,0,35,1,0,1,2,0,0,0.198
60,Allan Winans,ATL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Amed Rosario,2 Tms,142,510,545,134,95,25,8,6,70,58,29,0,99,3,3,0,15,15,2,0.263
62,Amir Garrett,KCR,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Amos Willingham,WSN,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Andre Jackson,2 Tms,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Andre Lipcius,DET,13,35,38,10,8,1,0,1,3,4,3,0,8,0,0,0,1,0,0,0.286
66,Andre Pallante,STL,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Andrés Giménez,CLE,153,557,616,140,93,27,5,15,76,62,32,3,112,20,3,4,10,30,6,0.251
68,Andrés Machado,WSN,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Andrés Muñoz,SEA,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Andrew Abbott,CIN,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Andrew Bellatti,PHI,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Andrew Benintendi,CHW,151,562,621,147,106,34,2,5,72,45,52,5,89,3,3,1,12,13,2,0.262
73,Andrew Chafin,2 Tms,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Andrew Heaney,TEX,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Andrew Kittredge,TBR,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Andrew Knizner,STL,70,224,241,54,33,11,0,10,30,31,12,0,62,3,1,1,8,2,0,0.241
77,Andrew McCutchen,PIT,112,390,473,100,69,19,0,12,55,43,75,1,100,4,4,0,8,11,3,0.256
78,Andrew Nardi,MIA,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Andrew Saalfrank,ARI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Andrew Stevenson,MIN,25,37,40,7,6,1,0,0,4,1,2,0,8,1,0,0,0,4,1,0.189
81,Andrew Suárez,STL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Andrew Vasquez,2 Tms,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Andrew Vaughn,CHW,152,566,615,146,93,30,2,21,67,80,36,0,129,11,2,0,15,0,0,0.258
84,Andrew Velazquez,LAA,54,81,94,14,9,3,0,2,12,3,10,0,30,0,0,3,1,13,3,0.173
85,Andrew Wantz,LAA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Andruw Monasterio,MIL,92,282,315,73,55,14,1,3,38,27,28,0,66,3,2,0,9,7,2,0.259
87,Andy Ibáñez,DET,114,356,383,94,58,23,2,11,42,41,24,0,69,1,1,1,7,1,0,0.264
88,Angel Felipe,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Angel Perdomo,PIT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Angel Zerpa,KCR,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
