#,Name,Team,Batting,Base Running,Fielding,Positional,-- Line Break --,Offense,Defense,-- Line Break --,League,Replacement,-- Line Break --,RAR,WAR,Dollars
,,,Batting - Park Adjusted Runs Above Average based on wOBA,"Base Running - Base running runs above average, includes SB or CS",Fielding - Fielding Runs Above Average based on UZR (TZ before 2002),"Positional - Positional Adjustment set at +12.5 for C, +7.5 for SS, +2.5 for 2B/3B/CF, -7.5 for RF/LF, -12.5 for 1B, -17.5 for DH",,Offense - Batting and Base Running combined (above average),Defense - Fielding and Positional Adjustment combined (above average),,League - League adjustment to zero out wins above average,Replacement - Replacement Runs set at 20 runs per 600 plate apperances,,RAR - Runs Above Replacement (Batting + Fielding + Base Running + Replacement + Positional),WAR - Wins Above Replacement,Dollars - WAR converted to a dollar scale based on what a player would make in free agency
1,A.J. Minter,ATL,0,0,,0,,0,0,,0,0,,0,0,0
2,A.J. Puk,MIA,0,0,,0,,0,0,,0,0,,0,0,0
3,Aaron Bummer,CHW,0,0,,0,,0,0,,0,0,,0,0,0
4,Aaron Civale,2 Tms,0,0,,0,,0,0,,0,0,,0,0,0
5,Aaron Hicks,2 Tms,3.5,1.1,-3.6,-2,,4.6,-5.6,,1,9.7,,9.7,1,7.7
6,Aaron Judge,NYY,40.9,-2.4,0.5,-6.1,,38.5,-5.6,,1.5,14.2,,48.5,4.8,38.7
7,Aaron Loup,LAA,0,0,,0,,0,0,,0,0,,0,0,0
8,Aaron Nola,PHI,0,0,,0,,0,0,,0,0,,0,0,0
9,Abner Uribe,MIL,0,0,,0,,0,0,,0,0,,0,0,0
10,Abraham Almonte,NYM,-2.6,-0.1,-0.4,-0.3,,-2.7,-0.7,,0,0.5,,-2.9,-0.3,-2.3
11,Abraham Toro,MIL,3.9,-0.1,-1.8,-0.2,,3.8,-2.1,,0.1,0.7,,2.5,0.2,2
12,Adam Cimber,TOR,0,0,,0,,0,0,,0,0,,0,0,0
13,Adam Duvall,BOS,6.6,0.8,-4.1,-0.8,,7.4,-5,,1.1,11,,14.6,1.5,11.6
14,Adam Engel,SDP,-1.6,-0.4,-0.6,0,,-2,-0.5,,0,0.2,,-2.3,-0.2,-1.8
15,Adam Frazier,BAL,-3.8,1.4,-10,1.1,,-2.4,-8.9,,1.5,14.1,,4.2,0.4,3.4
16,Adam Haseley,CHW,-2.1,0.2,-0.2,-0.4,,-1.9,-0.6,,0.1,1.2,,-1.1,-0.1,-0.9
17,Adam Kolarek,2 Tms,0,0,,0,,0,0,,0,0,,0,0,0
18,Adam Oller,OAK,0,0,,0,,0,0,,0,0,,0,0,0
19,Adam Ottavino,NYM,0,0,,0,,0,0,,0,0,,0,0,0
20,Adam Wainwright,STL,-0.5,0,,-0.1,,-0.5,-0.1,,0,0.1,,-0.6,-0.1,-0.5
21,Adbert Alzolay,CHC,0,0,,0,,0,0,,0,0,,0,0,0
22,Adley Rutschman,BAL,22.3,-1.9,7.1,3,,20.4,10.2,,2.2,21.3,,54.1,5.4,43.2
23,Adolis García,TEX,18.3,1.4,9.4,-6.4,,19.7,3,,2,19.6,,44.3,4.4,35.3
24,Adrian Houser,MIL,0,0,,0,,0,0,,0,0,,0,0,0
25,Adrián Martínez,OAK,0,0,,0,,0,0,,0,0,,0,0,0
26,Adrian Morejon,SDP,0,0,,0,,0,0,,0,0,,0,0,0
27,AJ Pollock,2 Tms,-9.9,-0.5,1.2,-3.6,,-10.4,-2.3,,0.5,4.5,,-7.8,-0.8,-6.2
28,AJ Smith-Shawver,ATL,0,0,,0,,0,0,,0,0,,0,0,0
29,Akil Baddoo,DET,-5.1,3.6,0.7,-4.3,,-1.5,-3.6,,1.1,11.1,,7.1,0.7,5.7
30,Alan Busenitz,CIN,0,0,,0,,0,0,,0,0,,0,0,0
31,Alan Trejo,COL,-12.3,0.7,1,1,,-11.6,2,,0.6,7,,-2,-0.2,-1.6
32,Albert Abreu,NYY,0,0,,0,,0,0,,0,0,,0,0,0
33,Alec Bohm,PHI,4,-3.3,-3.3,-3.9,,0.7,-7.2,,1.7,19,,14.2,1.4,11.3
34,Alec Burleson,STL,-4.8,-2.1,-5.7,-5.5,,-6.9,-11.2,,1,10.8,,-6.3,-0.6,-5
35,Alec Marsh,KCR,0,0,,0,,0,0,,0,0,,0,0,0
36,Alec Mills,CIN,0,0,,0,,0,0,,0,0,,0,0,0
37,Aledmys Díaz,OAK,-11.7,-2.2,-2.1,0.8,,-13.9,-1.4,,1.1,10.7,,-3.5,-0.4,-2.8
38,Alejandro Kirk,TOR,-2,-6.6,12.5,4.8,,-8.7,17.3,,1.4,13.1,,23.1,2.3,18.4
39,Alejo Lopez,CIN,0.5,0,0.1,0,,0.5,0.1,,0,0.1,,0.7,0.1,0.6
40,Alek Jacob,SDP,0,0,,0,,0,0,,0,0,,0,0,0
41,Alek Manoah,TOR,0,0,,0,,0,0,,0,0,,0,0,0
42,Alek Thomas,ARI,-14.2,4.8,-2.2,1.4,,-9.4,-0.9,,1.1,12.5,,3.3,0.3,2.6
43,Alex Bregman,HOU,21.9,-4.2,-0.1,2.3,,17.8,2.2,,2.3,22.5,,44.8,4.5,35.7
44,Alex Call,WSN,-14.9,-0.6,6.2,-0.4,,-15.5,5.9,,1.2,13.6,,5.3,0.5,4.2
45,Alex Claudio,MIL,0,0,,0,,0,0,,0,0,,0,0,0
46,Alex Cobb,SFG,0,0,,0,,0,0,,0,0,,0,0,0
47,Alex Colomé,CHW,0,0,,0,,0,0,,0,0,,0,0,0
48,Alex Faedo,DET,0,0,,0,,0,0,,0,0,,0,0,0
49,Alex Kirilloff,MIN,7.6,-1.9,-5.3,-5.3,,5.7,-10.6,,1,9.9,,6.1,0.6,4.9
50,Alex Lange,DET,0,0,,0,,0,0,,0,0,,0,0,0
51,Alex Speas,TEX,0,0,,0,,0,0,,0,0,,0,0,0
52,Alex Verdugo,BOS,-1.5,-0.5,1.7,-6,,-1.9,-4.3,,1.9,18.7,,14.3,1.4,11.4
53,Alex Vesia,LAD,0,0,,0,,0,0,,0,0,,0,0,0
54,Alex Wood,SFG,0,0,,0,,0,0,,0,0,,0,0,0
55,Alex Young,CIN,0,0,,0,,0,0,,0,0,,0,0,0
56,Alexander Canario,CHC,1,-0.8,-0.4,-0.5,,0.2,-0.9,,0,0.5,,-0.1,0,-0.1
57,Alexis Díaz,CIN,0,0,,0,,0,0,,0,0,,0,0,0
58,Alfonso Rivas III,2 Tms,-0.9,-0.8,-0.2,-2.6,,-1.7,-2.8,,0.3,3.8,,-0.3,0,-0.2
59,Alika Williams,PIT,-7.8,-0.4,-0.4,1.6,,-8.3,1.1,,0.3,3.5,,-3.4,-0.3,-2.7
60,Allan Winans,ATL,0,0,,0,,0,0,,0,0,,0,0,0
61,Amed Rosario,2 Tms,-7.6,0.6,-10.9,4,,-7.1,-6.9,,1.7,16.9,,4.6,0.5,3.7
62,Amir Garrett,KCR,0,0,,0,,0,0,,0,0,,0,0,0
63,Amos Willingham,WSN,0,0,,0,,0,0,,0,0,,0,0,0
64,Andre Jackson,2 Tms,0,0,,0,,0,0,,0,0,,0,0,0
65,Andre Lipcius,DET,0.3,0,-3.6,-0.1,,0.3,-3.7,,0.1,1.2,,-2.1,-0.2,-1.7
66,Andre Pallante,STL,0,0,,0,,0,0,,0,0,,0,0,0
